state_name,year,access,mtbs_class,area_km2
Arizona,2002,roadless,3,12.192237
Arizona,2002,roadless,4,1.153485
Arizona,2002,roadless,5,0.181332
Arizona,2002,roadless,6,0.0
Arizona,2002,wilderness,0,0.0
Arizona,2002,wilderness,1,4.778424
Arizona,2002,wilderness,2,7.93233
Arizona,2002,wilderness,3,7.631208
Arizona,2002,wilderness,4,4.587497999999999
Arizona,2002,wilderness,5,0.0108
Arizona,2002,wilderness,6,0.0
Arizona,2003,roaded,0,0.0
Arizona,2003,roaded,1,46.513557
Arizona,2003,roaded,2,71.55836099999999
Arizona,2003,roaded,3,56.482839000000006
Arizona,2003,roaded,4,36.942327
Arizona,2003,roaded,5,0.745434
Arizona,2003,roaded,6,0.0
Arizona,2003,roadless,0,0.0009
Arizona,2003,roadless,1,11.707676999999999
Arizona,2003,roadless,2,30.663449999999997
Arizona,2003,roadless,3,32.344578
Arizona,2003,roadless,4,7.769880000000001
Arizona,2003,roadless,5,0.837666
Arizona,2003,roadless,6,0.0
Arizona,2003,wilderness,0,0.0
Arizona,2003,wilderness,1,2.6730719999999994
Arizona,2003,wilderness,2,27.061443
Arizona,2003,wilderness,3,30.797414999999997
Arizona,2003,wilderness,4,9.698526
Arizona,2003,wilderness,5,0.009000000000000001
Arizona,2003,wilderness,6,0.0
Arizona,2004,roaded,0,0.0
Arizona,2004,roaded,1,57.466421999999994
Arizona,2004,roaded,2,127.96213499999998
Arizona,2004,roaded,3,44.206578
Arizona,2004,roaded,4,4.874175
Arizona,2004,roaded,5,0.09814499999999998
Arizona,2004,roaded,6,0.010458
Arizona,2004,roadless,0,0.0
Arizona,2004,roadless,1,30.382434
Arizona,2004,roadless,2,64.84790699999999
Arizona,2004,roadless,3,31.795901999999998
Arizona,2004,roadless,4,12.271589999999998
Arizona,2004,roadless,5,0.098055
Arizona,2004,roadless,6,0.09844199999999999
Arizona,2004,wilderness,0,0.0
Arizona,2004,wilderness,1,12.583628999999998
Arizona,2004,wilderness,2,96.26016599999998
Arizona,2004,wilderness,3,98.74242
Arizona,2004,wilderness,4,8.216235
Arizona,2004,wilderness,5,0.042300000000000004
Arizona,2004,wilderness,6,0.0
Arizona,2005,roaded,0,0.0
Arizona,2005,roaded,1,37.124072999999996
Arizona,2005,roaded,2,51.662268000000005
